iter SLP Tperiod AMP_WK Xslp
727 0.09 5 1.17 911.5
728 0.09 5 1.28 911.5
729 0.09 5 1.39 911.5
730 0.09 5 1.5 911.5
731 0.09 6 0.5 911.5
732 0.09 6 0.61 911.5
733 0.09 6 0.72 911.5
734 0.09 6 0.83 911.5
735 0.09 6 0.94 911.5
736 0.09 6 1.06 911.5
737 0.09 6 1.17 911.5
738 0.09 6 1.28 911.5
739 0.09 6 1.39 911.5
740 0.09 6 1.5 911.5
741 0.09 7 0.5 911.5
742 0.09 7 0.61 911.5
743 0.09 7 0.72 911.5
744 0.09 7 0.83 911.5
745 0.09 7 0.94 911.5
746 0.09 7 1.06 911.5
747 0.09 7 1.17 911.5
748 0.09 7 1.28 911.5
749 0.09 7 1.39 911.5
750 0.09 7 1.5 911.5
751 0.09 8 0.5 911.5
752 0.09 8 0.61 911.5
753 0.09 8 0.72 911.5
754 0.09 8 0.83 911.5
755 0.09 8 0.94 911.5
756 0.09 8 1.06 911.5
757 0.09 8 1.17 911.5
758 0.09 8 1.28 911.5
759 0.09 8 1.39 911.5
760 0.09 8 1.5 911.5
761 0.09 9 0.5 911.5
762 0.09 9 0.61 911.5
763 0.09 9 0.72 911.5
764 0.09 9 0.83 911.5
765 0.09 9 0.94 911.5
766 0.09 9 1.06 911.5
767 0.09 9 1.17 911.5
768 0.09 9 1.28 911.5
769 0.09 9 1.39 911.5
770 0.09 9 1.5 911.5
771 0.09 10 0.5 911.5
772 0.09 10 0.61 911.5
773 0.09 10 0.72 911.5
774 0.09 10 0.83 911.5
775 0.09 10 0.94 911.5
776 0.09 10 1.06 911.5
777 0.09 10 1.17 911.5
778 0.09 10 1.28 911.5
779 0.09 10 1.39 911.5
780 0.09 10 1.5 911.5
781 0.09 11 0.5 911.5
782 0.09 11 0.61 911.5
783 0.09 11 0.72 911.5
784 0.09 11 0.83 911.5
785 0.09 11 0.94 911.5
786 0.09 11 1.06 911.5
787 0.09 11 1.17 911.5
788 0.09 11 1.28 911.5
789 0.09 11 1.39 911.5
790 0.09 11 1.5 911.5
791 0.09 12 0.5 911.5
792 0.09 12 0.61 911.5
793 0.09 12 0.72 911.5
794 0.09 12 0.83 911.5
795 0.09 12 0.94 911.5
796 0.09 12 1.06 911.5
797 0.09 12 1.17 911.5
798 0.09 12 1.28 911.5
799 0.09 12 1.39 911.5
800 0.09 12 1.5 911.5
801 0.09 3 0.5 918.12
802 0.09 3 0.61 918.12
803 0.09 3 0.72 918.12
804 0.09 3 0.83 918.12
805 0.09 3 0.94 918.12
806 0.09 3 1.06 918.12
807 0.09 3 1.17 918.12
808 0.09 3 1.28 918.12
809 0.09 3 1.39 918.12
810 0.09 3 1.5 918.12
811 0.09 4 0.5 918.12
812 0.09 4 0.61 918.12
813 0.09 4 0.72 918.12
814 0.09 4 0.83 918.12
815 0.09 4 0.94 918.12
816 0.09 4 1.06 918.12
817 0.09 4 1.17 918.12
818 0.09 4 1.28 918.12
819 0.09 4 1.39 918.12
820 0.09 4 1.5 918.12
821 0.09 5 0.5 918.12
822 0.09 5 0.61 918.12
823 0.09 5 0.72 918.12
824 0.09 5 0.83 918.12
825 0.09 5 0.94 918.12
826 0.09 5 1.06 918.12
827 0.09 5 1.17 918.12
828 0.09 5 1.28 918.12
829 0.09 5 1.39 918.12
830 0.09 5 1.5 918.12
831 0.09 6 0.5 918.12
832 0.09 6 0.61 918.12
833 0.09 6 0.72 918.12
834 0.09 6 0.83 918.12
835 0.09 6 0.94 918.12
836 0.09 6 1.06 918.12
837 0.09 6 1.17 918.12
838 0.09 6 1.28 918.12
839 0.09 6 1.39 918.12
840 0.09 6 1.5 918.12
841 0.09 7 0.5 918.12
842 0.09 7 0.61 918.12
843 0.09 7 0.72 918.12
844 0.09 7 0.83 918.12
845 0.09 7 0.94 918.12
846 0.09 7 1.06 918.12
847 0.09 7 1.17 918.12
848 0.09 7 1.28 918.12
849 0.09 7 1.39 918.12
850 0.09 7 1.5 918.12
851 0.09 8 0.5 918.12
852 0.09 8 0.61 918.12
853 0.09 8 0.72 918.12
854 0.09 8 0.83 918.12
855 0.09 8 0.94 918.12
856 0.09 8 1.06 918.12
857 0.09 8 1.17 918.12
858 0.09 8 1.28 918.12
859 0.09 8 1.39 918.12
